Player,Position,Height(In),Weight(lb),DominantHand,College,City,State
John Parker Wilson,QB,73,219,R,Alabama,Montgomery,AL
Greg McElroy,QB,74,222,R,Alabama,Los Angeles,CA
Glen Coffee,RB,73,200,,Alabama,Eglin,FL
Mark Ingram,RB,69,215,,Alabama,Hackensack,NJ
Julio Jones,WR,75,220,,Alabama,Foley,AL
Darius Hanks,WR,72,185,,Alabama,,
Brad Smelley,TE,74,237,,Alabama,Tuscaloosa,AL
Antoine Caldwell,OL,75,307,,Alabama,Montgomery,AL
Mike Johnson,OL,78,301,,Alabama,Pensacola,FL
Terrence Cody,DL,76,370,,Alabama,Fort Myers,FL
Brandon Deaderick,DL,76,297,,Alabama,Elizabethtown,KY
Bobby Greenwood,DL,77,278,,Alabama,,
Josh Chapman,DL,73,316,,Alabama,Hoover,AL
Marcell Dareus,DL,75,331,,Alabama,Birmingham,AL
Lorenzo Washington,DL,76,296,,Alabama,,
Chavis Williams,DL,75,220,,Alabama,Dora,AL
Dont'a Hightower,LB,75,260,,Alabama,Lewisburg,TN
Rolando McClain,LB,75,254,,Alabama,Decatur,AL
Courtney Upshaw,LB,74,272,,Alabama,Eufala,AL
Javier Arenas,DB,69,195,,Alabama,Tampa,FL
Kareem Jackson,DB,70,183,,Alabama,Macon,GA
Rashad Johnson,DB,72,195,,Alabama,Sulligent,AL
Mark Barron,DB,74,213,,Alabama,Mobile,AL
Jerrell Harris,DB,74,240,,Alabama,,
Marquis Johnson,DB,70,192,,Alabama,Sarasota,FL
Trent Richardson,RB,69,228,,Alabama,Pensacola,FL
James Carpenter,OL,77,321,,Alabama,Augusta,GA
Barrett Jones,OL,76,306,,Alabama,Memphis,TN
Nico Johnson,LB,74,248,,Alabama,Andalusia,AL
Dre Kirkpatrick,DB,74,190,,Alabama,Gadsden,AL
Robert Lester,DB,74,210,,Alabama,Foley,AL
AJ McCarron,QB,75,220,R,Alabama,Mobile,AL
Eddie Lacy,RB,71,250,,Alabama,Gretna,LA
Kevin Norwood,WR,74,198,,Alabama,Biloxi,MS
Michael Williams,TE,78,269,,Alabama,Reform,AL
DJ Fluker,OL,77,342,,Alabama,New Orleans,LA
Chance Warmack,OL,74,323,,Alabama,Detroit,MI
Anthony Steen,OL,75,314,,Alabama,Lambert,MS
CJ Mosley,LB,74,250,,Alabama,Theodore,AL
Ed Stinson,LB,76,287,,Alabama,Homestead,FL
Carson Tinker,LB,72,233,,Alabama,Decatur,AL
Jalston Fowler,LB,71,261,,Alabama,Mobile,AL
DeQuan Menzie,DB,70,195,,Alabama,,
Cody Mandell,P,76,213,,Alabama,,
Blake Sims,RB,71,218,,Alabama,,
DeAndrew White,WR,72,195,,Alabama,Houston,TX
Christion Jones,WR,71,187,,Alabama,,
Xzavier Dickson,LB,75,268,,Alabama,,
Brandon Ivory,DL,75,308,,Alabama,,
Jeoffrey Pagan,DL,76,310,,Alabama,Asheville,NC
Trey DePriest,LB,73,250,,Alabama,,
Adrian Hubbard,LB,78,257,,Alabama,,
Ha Ha Clinton-Dix,DB,73,211,,Alabama,Orlando,FL
Vinnie Sunseri,DB,71,210,,Alabama,Pittsburgh,PA
TJ Yeldon,RB,73,223,,Alabama,Daphne,AL
Kenyan Drake,RB,73,211,,Alabama,Powder Springs,GA
Cyrus Jones,DB,70,195,,Alabama,Baltimore,MD
Amari Cooper,WR,73,210,R,Alabama,Miami,FL
Quinton Dial,DL,77,318,,Alabama,Pinson,AL
Damion Square,DL,74,293,,Alabama,Houston,TX
Reggie Ragland,LB,74,252,,Alabama,Madison,AL
Deion Belue,DB,71,182,,Alabama,,
Landon Collins,DB,72,218,,Alabama,New Orleans,LA
Derrick Henry,RB,75,247,R,Alabama,Yulee,FL
OJ Howard,TE,78,251,,Alabama,Prattville,AL
A'Shawn Robinson,DL,76,330,,Alabama,Fort Worth,TX
Dalvin Tomlinson,DL,75,325,,Alabama,McDonough,GA
Jonathan Allen,DL,75,300,,Alabama,Anniston,AL
Ryan Anderson,LB,74,255,,Alabama,Daphne,AL
Reuben Foster,LB,75,228,,Alabama,Auburn,AL
Tim Williams,LB,75,252,,Alabama,Baton Rouge,LA
Eddie Jackson,DB,72,206,,Alabama,Lauderdale Lakes,FL
Maurice Smith,DB,72,194,,Alabama,Sugar Land,TX
ArDarius Stewart,WR,72,205,,Alabama,Fultondale,AL
Cam Sims,WR,77,220,,Alabama,Monroe,LA
Robert Foster,WR,74,196,,Alabama,Monaca,PA
Cam Robinson,OL,78,320,,Alabama,Monroe,LA
Da'Shawn Hand,DL,75,297,,Alabama,Philadelphia,PA
