manufacturer,model,year,price,odometer,condition,transmission,cylinders,fuel,title_status,drive,size,type,paint_color,state
cadillac,cts,2012,12900,49600,good,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,white,fl
audi,a5,2018,16000,28000,good,automatic,4 cylinders,gas,clean,fwd,compact,coupe,grey,fl
ford,taurus_sel,2005,5500,93874,excellent,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,white,sd
chevrolet,impala,2013,6500,70000,like new,automatic,6 cylinders,gas,clean,fwd,full-size,sedan,black,or
bmw,3-series,2008,6200,124511,excellent,automatic,6 cylinders,gas,clean,rwd,compact,sedan,silver,va
ford,focus,2014,6495,87100,excellent,automatic,4 cylinders,gas,clean,fwd,compact,sedan,grey,tx
ford,focus,2015,7495,89144,excellent,automatic,4 cylinders,gas,clean,fwd,compact,sedan,blue,tx
ford,focus,2014,5495,64365,excellent,manual,4 cylinders,gas,clean,fwd,compact,sedan,blue,tx
chevrolet,camaro,2013,13000,124418,good,automatic,8 cylinders,gas,clean,rwd,mid-size,coupe,yellow,al
ford,focus,2007,2000,276000,good,automatic,4 cylinders,gas,clean,fwd,sub-compact,sedan,red,az
bmw,325i,2006,2000,134589,fair,automatic,6 cylinders,gas,clean,fwd,mid-size,coupe,blue,az
ford,focus,2006,4995,55000,excellent,automatic,4 cylinders,gas,clean,fwd,compact,sedan,grey,me
ford,mustang,2003,3000,159000,excellent,automatic,6 cylinders,gas,clean,fwd,compact,coupe,black,al
ford,focus,2007,1500,330000,good,automatic,4 cylinders,gas,clean,fwd,compact,sedan,black,az
chevrolet,traverse_ltz,2011,9500,110075,excellent,automatic,6 cylinders,gas,lien,fwd,full-size,SUV,brown,az
chevrolet,camaro,2013,12900,77000,excellent,automatic,8 cylinders,gas,clean,rwd,mid-size,convertible,grey,az
ford,taurus_sel,2008,7500,92000,like new,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,red,al
ford,focus,2010,4999,85109,excellent,automatic,4 cylinders,gas,clean,fwd,mid-size,sedan,white,az
bmw,3-series,2003,3599,155713,excellent,automatic,6 cylinders,gas,clean,rwd,compact,sedan,blue,tx
cadillac,srx,2012,10995,113002,good,automatic,6 cylinders,gas,clean,fwd,full-size,SUV,white,tx
chevrolet,camaro,2015,14995,66570,good,automatic,6 cylinders,gas,clean,rwd,mid-size,coupe,red,tx
ford,mustang,2009,7300,133671,excellent,automatic,6 cylinders,gas,clean,rwd,mid-size,coupe,white,az
chevrolet,camaro,2015,15200,49479,excellent,manual,6 cylinders,other,clean,rwd,full-size,coupe,red,fl
bmw,325i,2009,4500,215,good,manual,6 cylinders,gas,clean,fwd,mid-size,sedan,grey,az
bmw,3-series,2016,23995,22415,excellent,automatic,4 cylinders,gas,clean,rwd,mid-size,sedan,blue,fl
audi,a3,2017,25995,23636,excellent,automatic,4 cylinders,gas,clean,4wd,mid-size,sedan,red,fl
bmw,335i,2013,25990,43772,excellent,automatic,6 cylinders,gas,clean,rwd,mid-size,convertible,blue,fl
chevrolet,camaro,1995,19999,31450,like new,manual,8 cylinders,gas,clean,rwd,mid-size,convertible,green,fl
bmw,328xi,2007,3200,199000,good,automatic,6 cylinders,gas,clean,4wd,mid-size,sedan,blue,me
ford,focus,2003,2259,219442,excellent,automatic,4 cylinders,gas,clean,fwd,compact,sedan,black,mt
audi,a4,2009,6495,125320,excellent,automatic,4 cylinders,gas,clean,4wd,compact,sedan,silver,or
bmw,335i,2011,9600,103000,good,automatic,6 cylinders,gas,clean,4wd,mid-size,sedan,red,sd
bmw,x3,2009,8495,118523,good,automatic,6 cylinders,gas,clean,4wd,full-size,SUV,blue,me
ford,transit,2016,26000,70000,good,automatic,6 cylinders,gas,lien,rwd,mid-size,van,white,sd
ford,focus,2014,6995,80106,excellent,automatic,4 cylinders,gas,clean,fwd,compact,sedan,black,or
chevrolet,impala,2012,10990,99023,excellent,automatic,6 cylinders,gas,clean,fwd,full-size,sedan,blue,me
chevrolet,impala,2013,5995,111065,excellent,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,silver,wi
bmw,x3,2008,6000,170000,excellent,automatic,6 cylinders,gas,clean,fwd,mid-size,SUV,blue,az
ford,mustang,2000,3900,169500,excellent,automatic,8 cylinders,gas,clean,rwd,mid-size,convertible,red,az
chevrolet,traverse_ltz,2010,9999,111821,excellent,automatic,6 cylinders,gas,clean,fwd,full-size,SUV,black,mt
ford,transit,2016,26500,29666,good,automatic,6 cylinders,gas,clean,rwd,mid-size,van,white,az
chevrolet,trailblazer_lt,2004,3200,198087,good,automatic,6 cylinders,gas,clean,4wd,mid-size,SUV,silver,mt
ford,mustang,2008,6750,74865,good,automatic,6 cylinders,gas,clean,rwd,compact,convertible,black,fl
chevrolet,impala,2010,4999,58512,excellent,automatic,6 cylinders,other,clean,fwd,full-size,other,black,fl
bmw,328xi,2007,4000,117000,excellent,automatic,6 cylinders,gas,clean,rwd,compact,sedan,black,az
bmw,3-series,2004,3595,189509,excellent,automatic,6 cylinders,gas,clean,rwd,sub-compact,coupe,black,or
cadillac,cts,2015,22000,43000,like new,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,silver,or
chevrolet,impala,2013,8995,85000,excellent,automatic,6 cylinders,gas,clean,fwd,full-size,sedan,black,ny
ford,taurus_sel,2008,8000,153,good,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,silver,or
ford,taurus_sel,2011,12500,118000,good,automatic,6 cylinders,gas,rebuilt,fwd,mid-size,sedan,red,ca
chevrolet,impala,2010,5200,153000,good,automatic,6 cylinders,gas,clean,fwd,full-size,sedan,black,sd
cadillac,cts,2008,4200,145000,good,automatic,6 cylinders,gas,clean,fwd,mid-size,sedan,white,va
ford,mustang,2017,16995,32944,excellent,automatic,6 cylinders,gas,clean,rwd,compact,coupe,grey,fl
